category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,GeneSet,Description_TR
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,1/22,235/9399,0.00425531914893617,1.817988394584139,0.6150857075941568,0.4274659209185878,0.47742947011686426,0.41490198749445983,788,1,all_25,Termogenez
Cellular Processes,Transport and catabolism,hsa04145,Phagocytosis,1/22,259/9399,0.003861003861003861,1.6495261495261495,0.5134173338573292,0.4595978276866537,0.5067360664237465,0.440370388201787,50617,1,all_25,Fagositoz
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,1/22,268/9399,0.0037313432835820895,1.5941316146540025,0.47795608030285924,0.47119751728856096,0.5129491960356487,0.44576980316439485,6531,1,all_25,
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,1/22,275/9399,0.0036363636363636364,1.5535537190082644,0.45126389151016866,0.48005478348242137,0.5160588922436029,0.4484722319375252,2902,1,all_25,
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,1/22,300/9399,0.0033333333333333335,1.424090909090909,0.3615928718189163,0.510546008695369,0.5420611944173054,0.47106909184368034,123745,1,all_25,
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,1/22,308/9399,0.003246753246753247,1.3871015348288076,0.3345734890832098,0.5199372631091841,0.5453000564315833,0.4738837699711434,2902,1,all_25,
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,1/22,333/9399,0.003003003003003003,1.2829647829647828,0.25465004069029595,0.5481890302048709,0.568003091537577,0.4936134577621539,50617,1,all_25,
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,1/22,368/9399,0.002717391304347826,1.160943675889328,0.15255519703635187,0.5850873999745296,0.5950315732137474,0.5171021015688626,2902,1,all_25,
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,1/22,371/9399,0.0026954177897574125,1.1515559911786328,0.1442651366806781,0.5881126014321922,0.5950315732137474,0.5171021015688626,2902,1,all_25,
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,1/22,388/9399,0.002577319587628866,1.1011012183692594,0.0985105763552495,0.6048616593306715,0.6048616593306715,0.5256447712665566,2902,1,all_25,
