ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,GeneSet,Description_TR
MF,GO:0099604,ligand-gated calcium channel activity,2/18,30/18737,0.06666666666666667,69.39629629629628,11.62584446598408,3.731739688072643e-4,0.004602478948622927,0.001636727933365194,GRIN1/TPCN1,2,Rpost_18,Ligand-kapılı kalsiyum kanalı aktivitesi
MF,GO:0046943,carboxylic acid transmembrane transporter activity,3/18,185/18737,0.016216216216216217,16.88018018018018,6.730995363168109,6.928061779849814e-4,0.0069435745708453095,0.0024692654946107074,GRIN1/SLC1A1/SLC25A15,3,Rpost_18,Karboksilik asit transmembran taşıyıcı aktivitesi
MF,GO:0005216,monoatomic ion channel activity,4/18,439/18737,0.009111617312072893,9.484687420906099,5.578271720286669,7.006836623772297e-4,0.0069435745708453095,0.0024692654946107074,GRIN1/SLC1A1/TPCN1/TRPM7,4,Rpost_18,Monoatomik iyon kanalı aktivitesi
MF,GO:0005342,organic acid transmembrane transporter activity,3/18,186/18737,0.016129032258064516,16.78942652329749,6.710772794921212,7.037406659640516e-4,0.0069435745708453095,0.0024692654946107074,GRIN1/SLC1A1/SLC25A15,3,Rpost_18,Organik asit transmembran taşıyıcı aktivitesi
MF,GO:0005272,sodium channel activity,2/18,48/18737,0.041666666666666664,43.37268518518518,9.11479577492088,9.578208879875906e-4,0.008859843213885214,0.003150726605222338,GRIN1/TPCN1,2,Rpost_18,Sodyum kanalı aktivitesi
MF,GO:0016597,amino acid binding,2/18,51/18737,0.0392156862745098,40.82135076252723,8.830316550645167,0.0010807978971220636,0.009409299339650906,0.003346123520501745,GRIN1/SLC1A1,2,Rpost_18,Amino asit bağlanması
MF,GO:1901618,organic hydroxy compound transmembrane transporter activity,2/18,57/18737,0.03508771929824561,36.52436647173489,8.329303802109216,0.0013482971352260064,0.011085998667413829,0.003942389284286568,SLC44A1/SLC6A3,2,Rpost_18,Organik hidroksi bileşiği transmembran taşıyıcı aktivitesi
MF,GO:0015179,L-amino acid transmembrane transporter activity,2/18,66/18737,0.030303030303030304,31.54377104377104,7.708044320758287,0.0018028441572497504,0.014043207119629635,0.004994028136425902,SLC1A1/SLC25A15,2,Rpost_18,L-amino asit transmembran taşıyıcı aktivitesi
MF,GO:0008514,organic anion transmembrane transporter activity,3/18,268/18737,0.011194029850746268,11.6523631840796,5.446594467651294,0.002013904322775471,0.014902891988538485,0.005299748217830186,GRIN1/SLC1A1/SLC25A15,3,Rpost_18,
MF,GO:0015370,solute:sodium symporter activity,2/18,79/18737,0.02531645569620253,26.353023909985936,7.002355194000242,0.0025704811140560245,0.018115771660966267,0.0064423085565313894,SLC1A1/SLC6A3,2,Rpost_18,Çözünen:sodyum simporter aktivitesi
MF,GO:0005261,monoatomic cation channel activity,3/18,333/18737,0.009009009009009009,9.377877877877877,4.783363653426327,0.003723564888605191,0.025049436523344015,0.008908049972739692,GRIN1/TPCN1/TRPM7,3,Rpost_18,Monoatomik katyon kanalı aktivitesi
MF,GO:1902936,phosphatidylinositol bisphosphate binding,2/18,108/18737,0.018518518518518517,19.276748971193413,5.906761323939706,0.0047418574292908255,0.030512821718914878,0.010850932332473284,PLA2G4E/TPCN1,2,Rpost_18,Fosfatidilinositol bisfosfat bağlanması
MF,GO:0015294,solute:monoatomic cation symporter activity,2/18,116/18737,0.017241379310344827,17.947318007662837,5.677561440257758,0.005449103994045195,0.033602807963278705,0.011949789460625427,SLC1A1/SLC6A3,2,Rpost_18,Çözünen:monoatomik katyon simporter aktivitesi
MF,GO:0015108,chloride transmembrane transporter activity,2/18,120/18737,0.016666666666666666,17.34907407407407,5.571373888579242,0.005819850457862789,0.03445351471054771,0.012252316753395347,SLC1A1/SLC6A3,2,Rpost_18,Klorür transmembran taşıyıcı aktivitesi
