ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,GeneSet
BP,GO:1905039,carboxylic acid transmembrane transport,3/24,156/18986,0.019230769230769232,15.213141025641027,6.341559255562427,9.702010495568843e-4,0.018128899611720067,0.011204727910671987,SLC1A1/SLC25A15/SLC25A20,3,all_25
BP,GO:1903825,organic acid transmembrane transport,3/24,159/18986,0.018867924528301886,14.926100628930817,6.273449124427275,0.0010250843131489203,0.018622365022205385,0.011509718603777351,SLC1A1/SLC25A15/SLC25A20,3,all_25
BP,GO:0006865,amino acid transport,3/24,165/18986,0.01818181818181818,14.383333333333333,6.142621706762424,0.0011406785630917507,0.019832452125076876,0.012257623718058141,SLC1A1/SLC25A15/SLC6A3,3,all_25
BP,GO:0006644,phospholipid metabolic process,4/24,374/18986,0.0106951871657754,8.460784313725489,5.184329720767062,0.0011523443130778614,0.019832452125076876,0.012257623718058141,ALOX15/APOC1/PLA2G4E/SLC44A1,4,all_25
BP,GO:0042417,dopamine metabolic process,2/24,41/18986,0.04878048780487805,38.58943089430894,8.571942014282545,0.0012185196535204332,0.020433637266727266,0.012629191550657124,SLC1A1/SLC6A3,2,all_25
BP,GO:0046486,glycerolipid metabolic process,4/24,385/18986,0.01038961038961039,8.21904761904762,5.091092354775025,0.0012826273091528409,0.02085142029380763,0.0128874060724644,ALOX15/APOC1/PLA2G4E/SLC44A1,4,all_25
BP,GO:0006665,sphingolipid metabolic process,3/24,173/18986,0.017341040462427744,13.718208092485547,5.978452744866917,0.0013071991315689799,0.02085142029380763,0.0128874060724644,ALOXE3/GBA3/TECR,3,all_25
BP,GO:0016052,carbohydrate catabolic process,3/24,180/18986,0.016666666666666666,13.184722222222222,5.843492891513812,0.0014648722256301832,0.022810153227669997,0.01409801841207996,GBA3/PFKFB1/TKTL1,3,all_25
BP,GO:0035725,sodium ion transmembrane transport,3/24,188/18986,0.015957446808510637,12.623670212765957,5.698167772374809,0.0016591686191721271,0.025234797138106307,0.015596591181446682,GRIN1/SLC6A3/TPCN1,3,all_25
BP,GO:0030258,lipid modification,3/24,191/18986,0.015706806282722512,12.425392670157066,5.645930190632149,0.0017359949836317677,0.025803198165799453,0.015947896500349255,ALOX15/ALOXE3/CYP2E1,3,all_25
BP,GO:0071466,cellular response to xenobiotic stimulus,3/24,198/18986,0.015151515151515152,11.986111111111112,5.528472541628959,0.0019238493126396688,0.02795994334369652,0.01728089207143001,CYP2E1/GRIN1/NAT2,3,all_25
BP,GO:1901570,fatty acid derivative biosynthetic process,2/24,53/18986,0.03773584905660377,29.852201257861633,7.48300474768238,0.0020288520784764387,0.028844983898338932,0.017827899270822713,ALOX15/TECR,2,all_25
BP,GO:0009395,phospholipid catabolic process,2/24,54/18986,0.037037037037037035,29.29938271604938,7.4087415516197535,0.002105261919533899,0.02929449564628021,0.018105724011220993,APOC1/PLA2G4E,2,all_25
BP,GO:0007215,glutamate receptor signaling pathway,2/24,55/18986,0.03636363636363636,28.766666666666666,7.336470307179768,0.0021830229880426544,0.029743688212081166,0.018383351478253936,GRIN1/SLC1A1,2,all_25
BP,GO:0006584,catecholamine metabolic process,2/24,57/18986,0.03508771929824561,27.757309941520464,7.197553338931972,0.002342585819116441,0.030366753086132906,0.018768442274384414,SLC1A1/SLC6A3,2,all_25
BP,GO:0009712,catechol-containing compound metabolic process,2/24,57/18986,0.03508771929824561,27.757309941520464,7.197553338931972,0.002342585819116441,0.030366753086132906,0.018768442274384414,SLC1A1/SLC6A3,2,all_25
BP,GO:0007626,locomotory behavior,3/24,213/18986,0.014084507042253521,11.142018779342722,5.295612790961203,0.002368049552588346,0.030366753086132906,0.018768442274384414,ASL/SLC1A1/SLC6A3,3,all_25
BP,GO:0042220,response to cocaine,2/24,58/18986,0.034482758620689655,27.27873563218391,7.130745712620611,0.002424381101188236,0.030491254618790504,0.018845391555795198,SLC1A1/SLC6A3,2,all_25
BP,GO:0006643,membrane lipid metabolic process,3/24,218/18986,0.013761467889908258,10.886467889908259,5.223111055545493,0.0025291014668481467,0.031208157722994113,0.019288479906051408,ALOXE3/GBA3/TECR,3,all_25
BP,GO:0031329,regulation of cellular catabolic process,4/24,472/18986,0.00847457627118644,6.7040960451977405,4.4645382652178895,0.0026998019603464807,0.03269760151975182,0.02020904391370465,APOC1/DHRSX/PFKFB1/TPCN1,4,all_25
